,title,price,area_in_sqft,location
120,"111 Sq. Yards Plot for Sale  in Shadnagar, Hyderabad","<span class=""pro-rice"">Call for Price</span>",999 sq.ft (111 Sq. Yards),"Shadnagar, Hyderabad"
121,"100 Sq.ft. Residential Plots for Sale  in Hafeezpet, Hyderabad","<span class=""pro-rice"">Call for Price</span>",100 sq.ft,"Hafeezpet, Hyderabad"
122,"1998 Sq.ft. Plots for Sale  in Amangal, Hyderabad","<span class=""pro-rice"">Call for Price</span>",1998 sq.ft,"Amangal, Hyderabad"
123,"146 Sq. Yards Land  in Balanagar, Hyderabad","<span class=""pro-rice"">Call for Price</span>",1314 sq.ft (146 Sq. Yards),"Balanagar, Hyderabad"
124,"150 Sq. Yards Lands for Sale  in Yadagirigutta, Hyderabad","<span class=""pro-rice"">Call for Price</span>",1350 sq.ft (150 Sq. Yards),"Yadagirigutta, Hyderabad"
125,"146.66 Sq. Yards Residential Plots for Sale  in Shadnagar, Hyderabad","<span class=""pro-rice"">Call for Price</span>",1319 sq.ft (146.66 Sq. Yards),"Shadnagar, Hyderabad"
126,"400 Sq.ft. Residential Plots for Sale  in Mahabubnagar, Hyderabad","<span class=""pro-rice"">Call for Price</span>",400 sq.ft,"Mahabubnagar, Hyderabad"
127,"150 Sq. Yards Plots  in Yadagirigutta, Hyderabad","<span class=""pro-rice"">Call for Price</span>",1350 sq.ft (150 Sq. Yards),"Yadagirigutta, Hyderabad"
128,"100 Sq. Yards Plot  in Yadagirigutta, Hyderabad","<span class=""pro-rice"">Call for Price</span>",900 sq.ft (100 Sq. Yards),"Yadagirigutta, Hyderabad"
129,"183 Sq. Yards Residential Plots  in Shadnagar, Hyderabad","<span class=""pro-rice"">Call for Price</span>",1647 sq.ft (183 Sq. Yards),"Shadnagar, Hyderabad"
130,"1 RK 72 Sq. Yards Farm House for Sale in JP Darga, Kothur, Hyderabad","<span class=""pro-rice"">Call for Price</span>",648 sq.ft (72 Sq. Yards),"JP Darga, Kothur, Hyderabad"
131,"100 Sq. Yards Residential Plots for Sale  in Shadnagar, Hyderabad","<span class=""pro-rice"">Call for Price</span>",900 sq.ft (100 Sq. Yards),"Shadnagar, Hyderabad"
132,"120 Sq. Yards Plot for Sale  in Yadagirigutta, Hyderabad","<span class=""pro-rice"">Call for Price</span>",1080 sq.ft (120 Sq. Yards),"Yadagirigutta, Hyderabad"
133,"146.6 Sq. Yards Land for Sale  in Shadnagar, Hyderabad","<span class=""pro-rice"">Call for Price</span>",1319 sq.ft (146.6 Sq. Yards),Freehold
134,"121 Sq. Yards Plot for Sale  in Yadagirigutta, Hyderabad","<span class=""pro-rice"">Call for Price</span>",1089 sq.ft (121 Sq. Yards),"Yadagirigutta, Hyderabad"
135,"2 BHK 905 Sq.ft. Flats / Apartments for Sale in Shamshabad, Hyderabad","<span class=""pro-rice"">Call for Price</span>",905 sq.ft,2
136,"121 Sq. Yards Lands for Sale  in Kandukuru, Hyderabad","<span class=""pro-rice"">Call for Price</span>",1089 sq.ft (121 Sq. Yards),"Kandukuru, Hyderabad"
137,"200 Sq. Yards Plot  in Kadthal, Hyderabad","<span class=""pro-rice"">Call for Price</span>",1800 sq.ft (200 Sq. Yards),"Kadthal, Hyderabad"
138,"1 RK 146 Sq.ft. Flats / Apartments for Sale in Sharadha Nagar, Hyderabad","<span class=""pro-rice"">Call for Price</span>",146 sq.ft,"Sharadha Nagar, Hyderabad"
139,"165 Sq. Yards Residential Plots for Sale  in Ibrahimpatnam, Hyderabad","<span class=""pro-rice"">Call for Price</span>",1485 sq.ft (165 Sq. Yards),"Ibrahimpatnam, Hyderabad"
140,"156 Sq. Yards Residential Plots for Sale  in Amangal, Hyderabad","<span class=""pro-rice"">Call for Price</span>",1404 sq.ft (156 Sq. Yards),Freehold
141,"200 Sq. Yards Land for Sale  in Aleru, Hyderabad","<span class=""pro-rice"">Call for Price</span>",1800 sq.ft (200 Sq. Yards),Freehold
142,"147 Sq. Yards Open Plots for Sale  in Keshampet, Hyderabad","<span class=""pro-rice"">Call for Price</span>",1323 sq.ft (147 Sq. Yards),"Keshampet, Hyderabad"
143,"147 Sq.ft. Land for Sale  in Shadnagar, Hyderabad","<span class=""pro-rice"">Call for Price</span>",147 sq.ft,"Shadnagar, Hyderabad"
144,"146 Sq. Yards Plot  in Shadnagar, Hyderabad","<span class=""pro-rice"">Call for Price</span>",1314 sq.ft (146 Sq. Yards),"Shadnagar, Hyderabad"
145,"909 Sq.ft. Plot  in JP Darga, Kothur, Hyderabad","<span class=""pro-rice"">Call for Price</span>",909 sq.ft,"JP Darga, Kothur, Hyderabad"
146,"147 Sq. Yards Plot for Sale  in Sharadha Nagar, Hyderabad","<span class=""pro-rice"">Call for Price</span>",1323 sq.ft (147 Sq. Yards),"Sharadha Nagar, Hyderabad"
147,"150 Sq. Yards Open Plots for Sale  in Shadnagar, Hyderabad","<span class=""pro-rice"">Call for Price</span>",1350 sq.ft (150 Sq. Yards),"Shadnagar, Hyderabad"
148,"120 Sq. Yards Lands  in Ibrahimpatnam, Hyderabad","<span class=""pro-rice"">Call for Price</span>",1080 sq.ft (120 Sq. Yards),"Ibrahimpatnam, Hyderabad"
149,"147 Sq. Yards Residential Plots for Sale  in Yadagirigutta, Hyderabad","<span class=""pro-rice"">Call for Price</span>",1323 sq.ft (147 Sq. Yards),"Yadagirigutta, Hyderabad"
150,"5 Acre Land for Sale  in Hayathnagar, Hyderabad","<span class=""pro-rice"">Call for Price</span>",217800 sq.ft (5 Acre),"Hayathnagar, Hyderabad"
151,"150 Sq. Yards Lands for Sale  in Rajapur, Hyderabad","<span class=""pro-rice"">Call for Price</span>",1350 sq.ft (150 Sq. Yards),Freehold
152,"1350 Sq.ft. Plots for Sale  in Shadnagar, Hyderabad","<span class=""pro-rice"">Call for Price</span>",1350 sq.ft,"Shadnagar, Hyderabad"
153,"146 Sq. Yards Open Plots for Sale  in Shadnagar, Hyderabad","<span class=""pro-rice"">Call for Price</span>",1314 sq.ft (146 Sq. Yards),"Shadnagar, Hyderabad"
154,"147 Sq. Yards Residential Plots  in Yadagirigutta, Hyderabad","<span class=""pro-rice"">Call for Price</span>",1323 sq.ft (147 Sq. Yards),Freehold
155,"147 Sq.ft. Open Plots for Sale  in Keshampet, Hyderabad","<span class=""pro-rice"">Call for Price</span>",147 sq.ft,2
156,"2 BHK 150 Sq. Yards Farm House for Sale in Chanda Nagar, Hyderabad","<span class=""pro-rice"">Call for Price</span>",1350 sq.ft (150 Sq. Yards),"Chanda Nagar, Hyderabad"
